func:fileName,Status
__bpf_constant_ntohs:,MISSED
__bpf_ntohs:/root/github/demo_lpc/codequery/katran/bpf_endian.h,SKIPPED
bpf_ntohs:/root/github/demo_lpc/codequery/katran/bpf_endian.h,SKIPPED
swap_mac_and_send:/root/github/demo_lpc/codequery/katran/handle_icmp.h,SKIPPED
send_icmp6_reply:/root/github/demo_lpc/codequery/katran/handle_icmp.h,SKIPPED
parse_icmpv6:/root/github/demo_lpc/codequery/katran/handle_icmp.h,SKIPPED
csum_fold_helper:/root/github/demo_lpc/codequery/katran/csum_helpers.h,SKIPPED
ipv4_csum_inline:/root/github/demo_lpc/codequery/katran/csum_helpers.h,SKIPPED
send_icmp_reply:/root/github/demo_lpc/codequery/katran/handle_icmp.h,SKIPPED
parse_icmp:/root/github/demo_lpc/codequery/katran/handle_icmp.h,SKIPPED
process_l3_headers:/root/github/demo_lpc/codequery/katran/decap_kern.c,MISSED
check_decap_dst:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
decrement_ttl:/root/github/demo_lpc/codequery/katran/balancer_helpers.h,SKIPPED
decap_v6:/root/github/demo_lpc/codequery/katran/pckt_encap.h,SKIPPED
decap_v4:/root/github/demo_lpc/codequery/katran/pckt_encap.h,SKIPPED
recirculate:/root/github/demo_lpc/codequery/katran/balancer_helpers.h,SKIPPED
process_encaped_ipip_pckt:/root/github/demo_lpc/codequery/katran/decap_kern.c,MISSED
calc_offset:/root/github/demo_lpc/codequery/katran/pckt_parsing.h,SKIPPED
parse_tcp:/root/github/demo_lpc/codequery/katran/pckt_parsing.h,SKIPPED
parse_udp:/root/github/demo_lpc/codequery/katran/pckt_parsing.h,SKIPPED
__bpf_constant_htons:/root/github/demo_lpc/codequery/katran/bpf_endian.h,SKIPPED
__bpf_htons:/root/github/demo_lpc/codequery/katran/bpf_endian.h,SKIPPED
bpf_htons:/root/github/demo_lpc/codequery/katran/bpf_endian.h,SKIPPED
get_next_ports:/root/github/demo_lpc/codequery/katran/flow_debug_helpers.h,SKIPPED
gue_record_route:/root/github/demo_lpc/codequery/katran/flow_debug_helpers.h,SKIPPED
RECORD_GUE_ROUTE:/root/github/demo_lpc/codequery/katran/flow_debug.h,SKIPPED
gue_decap_v6:/root/github/demo_lpc/codequery/katran/pckt_encap.h,SKIPPED
gue_decap_v4:/root/github/demo_lpc/codequery/katran/pckt_encap.h,SKIPPED
process_encaped_gue_pckt:/root/github/demo_lpc/codequery/katran/decap_kern.c,MISSED
min_helper:/root/github/demo_lpc/codequery/katran/csum_helpers.h,SKIPPED
submit_event:/root/github/demo_lpc/codequery/katran/balancer_helpers.h,SKIPPED
REPORT_EVENT:/root/github/demo_lpc/codequery/katran/introspection.h,SKIPPED
REPORT_PACKET_TOOBIG:/root/github/demo_lpc/codequery/katran/introspection.h,SKIPPED
swap_mac:/root/github/demo_lpc/codequery/katran/handle_icmp.h,SKIPPED
__bpf_constant_htonl:/root/github/demo_lpc/codequery/katran/bpf_endian.h,SKIPPED
__bpf_htonl:/root/github/demo_lpc/codequery/katran/bpf_endian.h,SKIPPED
bpf_htonl:/root/github/demo_lpc/codequery/katran/bpf_endian.h,SKIPPED
ipv6_csum:/root/github/demo_lpc/codequery/katran/csum_helpers.h,SKIPPED
send_icmp6_too_big:/root/github/demo_lpc/codequery/katran/handle_icmp.h,SKIPPED
ipv4_csum:/root/github/demo_lpc/codequery/katran/csum_helpers.h,SKIPPED
send_icmp4_too_big:/root/github/demo_lpc/codequery/katran/handle_icmp.h,SKIPPED
send_icmp_too_big:/root/github/demo_lpc/codequery/katran/handle_icmp.h,SKIPPED
parse_quic:/root/github/demo_lpc/codequery/katran/pckt_parsing.h,SKIPPED
increment_quic_cid_version_stats:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
increment_quic_cid_drop_real_0:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
increment_quic_cid_drop_no_real:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
REPORT_QUIC_PACKET_DROP_NO_REAL:/root/github/demo_lpc/codequery/katran/introspection.h,SKIPPED
parse_hdr_opt:/root/github/demo_lpc/codequery/katran/pckt_parsing.h,SKIPPED
tcp_hdr_opt_lookup:/root/github/demo_lpc/codequery/katran/pckt_parsing.h,SKIPPED
connection_table_lookup:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
is_under_flood:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
rol32:/root/github/demo_lpc/codequery/katran/jhash.h,SKIPPED
__jhash_final:/root/github/demo_lpc/codequery/katran/jhash.h,SKIPPED
__jhash_nwords:/root/github/demo_lpc/codequery/katran/jhash.h,SKIPPED
jhash_2words:/root/github/demo_lpc/codequery/katran/jhash.h,SKIPPED
__jhash_mix:/root/github/demo_lpc/codequery/katran/jhash.h,SKIPPED
jhash:/root/github/demo_lpc/codequery/katran/jhash.h,SKIPPED
get_packet_hash:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
get_packet_dst:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
reals_have_same_addr:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
perform_global_lru_lookup:/root/github/demo_lpc/codequery/katran/balancer_kern.c,MISSED
REPORT_TCP_NONSYN_LRUMISS:/root/github/demo_lpc/codequery/katran/introspection.h,SKIPPED
PCKT_ENCAP_V6:/root/github/demo_lpc/codequery/katran/balancer_consts.h,SKIPPED
PCKT_ENCAP_V4:/root/github/demo_lpc/codequery/katran/balancer_consts.h,SKIPPED
process_packet:/root/github/demo_lpc/codequery/katran/decap_kern.c,MISSED
xdpdecap:/root/github/demo_lpc/codequery/katran/decap_kern.c,MISSED
