func:fileName,Status
bpf_ntohs:/home/sayandes/codequery/katran/bpf_endian.h,SKIPPED
swap_mac_and_send:/home/sayandes/codequery/katran/handle_icmp.h,SKIPPED
send_icmp6_reply:/home/sayandes/codequery/katran/handle_icmp.h,SKIPPED
parse_icmpv6:/home/sayandes/codequery/katran/handle_icmp.h,SKIPPED
csum_fold_helper:/home/sayandes/codequery/katran/csum_helpers.h,SKIPPED
ipv4_csum_inline:/home/sayandes/codequery/katran/csum_helpers.h,SKIPPED
send_icmp_reply:/home/sayandes/codequery/katran/handle_icmp.h,SKIPPED
parse_icmp:/home/sayandes/codequery/katran/handle_icmp.h,SKIPPED
process_l3_headers:/home/sayandes/codequery/katran/decap_kern.c,MISSED
check_decap_dst:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
decrement_ttl:/home/sayandes/codequery/katran/balancer_helpers.h,SKIPPED
decap_v6:/home/sayandes/codequery/katran/pckt_encap.h,SKIPPED
decap_v4:/home/sayandes/codequery/katran/pckt_encap.h,SKIPPED
recirculate:/home/sayandes/codequery/katran/balancer_helpers.h,SKIPPED
process_encaped_ipip_pckt:/home/sayandes/codequery/katran/decap_kern.c,MISSED
calc_offset:/home/sayandes/codequery/katran/pckt_parsing.h,SKIPPED
parse_tcp:/home/sayandes/codequery/katran/pckt_parsing.h,SKIPPED
parse_udp:/home/sayandes/codequery/katran/pckt_parsing.h,SKIPPED
bpf_htons:/home/sayandes/codequery/katran/bpf_endian.h,SKIPPED
get_next_ports:/home/sayandes/codequery/katran/flow_debug_helpers.h,SKIPPED
gue_record_route:/home/sayandes/codequery/katran/flow_debug_helpers.h,SKIPPED
gue_decap_v6:/home/sayandes/codequery/katran/pckt_encap.h,SKIPPED
gue_decap_v4:/home/sayandes/codequery/katran/pckt_encap.h,SKIPPED
process_encaped_gue_pckt:/home/sayandes/codequery/katran/decap_kern.c,MISSED
min_helper:/home/sayandes/codequery/katran/csum_helpers.h,SKIPPED
submit_event:/home/sayandes/codequery/katran/balancer_helpers.h,SKIPPED
REPORT_EVENT:/home/sayandes/codequery/katran/introspection.h,SKIPPED
swap_mac:/home/sayandes/codequery/katran/handle_icmp.h,SKIPPED
bpf_htonl:/home/sayandes/codequery/katran/bpf_endian.h,SKIPPED
ipv6_csum:/home/sayandes/codequery/katran/csum_helpers.h,SKIPPED
send_icmp6_too_big:/home/sayandes/codequery/katran/handle_icmp.h,SKIPPED
ipv4_csum:/home/sayandes/codequery/katran/csum_helpers.h,SKIPPED
send_icmp4_too_big:/home/sayandes/codequery/katran/handle_icmp.h,SKIPPED
send_icmp_too_big:/home/sayandes/codequery/katran/handle_icmp.h,SKIPPED
parse_quic:/home/sayandes/codequery/katran/pckt_parsing.h,SKIPPED
increment_quic_cid_version_stats:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
increment_quic_cid_drop_real_0:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
increment_quic_cid_drop_no_real:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
parse_hdr_opt:/home/sayandes/codequery/katran/pckt_parsing.h,SKIPPED
tcp_hdr_opt_lookup:/home/sayandes/codequery/katran/pckt_parsing.h,SKIPPED
connection_table_lookup:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
is_under_flood:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
rol32:/home/sayandes/codequery/katran/jhash.h,SKIPPED
__jhash_final:/home/sayandes/codequery/katran/jhash.h,SKIPPED
__jhash_nwords:/home/sayandes/codequery/katran/jhash.h,SKIPPED
jhash_2words:/home/sayandes/codequery/katran/jhash.h,SKIPPED
__jhash_mix:/home/sayandes/codequery/katran/jhash.h,SKIPPED
jhash:/home/sayandes/codequery/katran/jhash.h,SKIPPED
get_packet_hash:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
get_packet_dst:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
reals_have_same_addr:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
perform_global_lru_lookup:/home/sayandes/codequery/katran/balancer_kern.c,MISSED
process_packet:/home/sayandes/codequery/katran/decap_kern.c,MISSED
xdpdecap:/home/sayandes/codequery/katran/decap_kern.c,MISSED
